id,Typologie cadeau,Cadeau,Lien,image_url,Tranche d'âge,Budget cible,Prix,Occasion,Activités / Centres d'intérêts,Relation,Personnalité / Préférences,Genre,Tags,Catégorie de Produit,Évaluations Produit,Marque,Options de Personnalisation,Éco-responsable,Couleur,Dimensions,Matériau,Description
1,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-topaze-bleu-du-bresil-2,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_125503.jpg?fit=1393%2C1393&ssl=1,20 - 60 ans,30 - 50€ ,40€,Fête des Mères,"Mode, Accessoires",Famille,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et topaze bleu,Taille 53 ,Argent,
2,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-topaze-bleu-du-bresil-2,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_125503.jpg?fit=1393%2C1393&ssl=1,20 - 60 ans,30 - 50€ ,40€,Anniversaire ,"Mode, Accessoires",Famille,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et topaze bleu,Taille 53 ,Argent,
3,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-topaze-bleu-du-bresil-2,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_125503.jpg?fit=1393%2C1393&ssl=1,20 - 60 ans,30 - 50€ ,40€,Saint Valentin,"Mode, Accessoires",Amoureux,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et topaze bleu,Taille 53 ,Argent,
4,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-amethyste-du-bresil,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_125708.jpg?fit=1338%2C1338&ssl=1,20 - 60 ans,30 - 50€ ,40€,Fête des Mères,"Mode, Accessoires",Famille,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et améthyste du Brésil,Taile 54,Argent,
5,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-amethyste-du-bresil,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_125708.jpg?fit=1338%2C1338&ssl=1,20 - 60 ans,30 - 50€ ,40€,Mariage ,"Mode, Accessoires",Famille,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et améthyste du Brésil,Taile 54,Argent,
6,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-amethyste-du-bresil,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_125708.jpg?fit=1338%2C1338&ssl=1,20 - 60 ans,30 - 50€ ,40€,Anniversaire ,"Mode, Accessoires","Amis,Collègue",N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et améthyste du Brésil,Taile 54,Argent,
7,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-morganite-du-bresil,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_124149.jpg?fit=1534%2C1533&ssl=1,20 - 60 ans,30 - 50€ ,40€,Diplôme,"Mode, Accessoires",Famille,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et améthyste du Brésil,Taile 56,Argent,
8,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/bague-en-argent-avec-morganite-du-bresil,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/IMG_20201116_124149.jpg?fit=1534%2C1533&ssl=1,20 - 60 ans,30 - 50€ ,40€,Anniversaire ,"Mode, Accessoires",Famille,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et améthyste du Brésil,Taile 56,Argent,
9,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/1149,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/RAJ-BAG-P-OR-1CORNALINE2.jpg?fit=1701%2C1701&ssl=1,20 - 60 ans,40 - 70€ ,60€,Mariage ,"Mode, Accessoires",Famille,N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et améthyste du Brésil,Taile 50,Or,
10,Bijoux,Bagues,https://artefact.bijouxdecreateurs.com/produit/1149,https://i0.wp.com/artefact.bijouxdecreateurs.com/wp-content/uploads/2021/04/RAJ-BAG-P-OR-1CORNALINE2.jpg?fit=1701%2C1701&ssl=1,20 - 60 ans,40 - 70€ ,60€,Anniversaire ,"Mode, Accessoires","Amis,Collègue",N/A,Femme,"Bijoux, bagues, accessoires","Bijoux, Accessoires",4.7,Arte Fac ,Non,N/A,Argent et améthyste du Brésil,Taile 50,Or,
