id,Typologie cadeau,Cadeau,Lien,Tranche d'âge,Budget cible,Occasion,activités / centres d'intérêts,Relation,Personnalité / Préférences,Genre
1,Jeux,Playmobil,"https://www.google.com/shopping/product/358839921583145549?q=jeu+playmobil&sxsrf=APwXEdcZ4SEGZZ7H2cUPEHGx12jgykRHHg:1683555025363&biw=1920&bih=941&dpr=1&prds=eto:10674192526689488294_0,pid:11752353643451595943,rsk:PC_14486972065599239030&sa=X&ved=0ahUKEwj",6 - 12 ans,50 - 75 €,Anniversaire_01,N/A,Famille,N/A,Mixte
2,Jeux,Playmobil,"https://www.google.com/shopping/product/358839921583145549?q=jeu+playmobil&sxsrf=APwXEdcZ4SEGZZ7H2cUPEHGx12jgykRHHg:1683555025363&biw=1920&bih=941&dpr=1&prds=eto:10674192526689488294_0,pid:11752353643451595943,rsk:PC_14486972065599239030&sa=X&ved=0ahUKEwj",6 - 12 ans,50 - 75 €,Noël_02,N/A,Famille,N/A,Mixte
3,Livre,Petit Ours Brun,https://www.cultura.com/p-ma-premiere-bibliotheque-petit-ours-brun-9791036349744.html,0 - 6 ans,5 - 20 €,Anniversaire_03,N/A,Famille,N/A,Mixte
4,Livre,Petit Ours Brun,https://www.cultura.com/p-ma-premiere-bibliotheque-petit-ours-brun-9791036349744.html,0 - 6 ans,5 - 20 €,Noël_04,N/A,Famille,N/A,Mixte
5,Livre,Elles,https://www.fnac.com/a15584412/Elles-Tome-1-Elles-La-nouvelle-s-Kid-Toussaint?oref=00000000-0000-0000-0000-000000000000&Origin=SEA_GOOGLE_PLA_BOOKS,12 - 18 ans,5 - 20 €,Anniversaire,N/A,Famille,N/A,Fille
6,Livre,Elles,https://www.fnac.com/a15584412/Elles-Tome-1-Elles-La-nouvelle-s-Kid-Toussaint?oref=00000000-0000-0000-0000-000000000000&Origin=SEA_GOOGLE_PLA_BOOKS,12 - 18 ans,5 - 20 €,Noël,N/A,Famille,N/A,Fille
7,Peluche,Peluche bébé,https://www.petiteamelie.fr/peluche-licorne-doudou-decoration.html?srsltid=AR57-fBZVHpGuYr4g6T6ct1dRDfjankdSp1aJ7zDk_ueLtI9lhyZ2A9193Q# ,0 - 6 ans,5 - 20 €,Anniversaire,N/A,Famille,Made in France,Mixte
8,Peluche,Peluche bébé,https://www.petiteamelie.fr/peluche-licorne-doudou-decoration.html?srsltid=AR57-fBZVHpGuYr4g6T6ct1dRDfjankdSp1aJ7zDk_ueLtI9lhyZ2A9193Q# ,0 - 6 ans,5 - 20 €,Noël,N/A,Amis,N/A,Mixte
9,Peluche,Peluche bébé,https://www.petiteamelie.fr/peluche-licorne-doudou-decoration.html?srsltid=AR57-fBZVHpGuYr4g6T6ct1dRDfjankdSp1aJ7zDk_ueLtI9lhyZ2A9193Q# ,0 - 6 ans,5 - 20 €,Naissance,N/A,Amis,Made in France,Mixte
10,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Famille-Disney/dp/B0013F4LZ6/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=puzzle+enfant&s=toys&sr=1-7,6 - 12 ans,5 - 20 €,Anniversaire,Disney,Famille,N/A,Mixte
11,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Famille-Disney/dp/B0013F4LZ6/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=puzzle+enfant&s=toys&sr=1-7,6 - 12 ans,5 - 20 €,Noël,Disney,Famille,N/A,Mixte
12,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Armoire-Cuisine/dp/B00B2IIR3G/ref=sr_1_4?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=puzzle&s=toys&sr=1-4,12 - 18 ans,5 - 20 €,Noël,Jeux de société,Famille,Aime les activités relaxantes,Mixte
