id,Typologie cadeau,Cadeau,Lien,image_url,Tranche d'âge,Budget cible,Prix,Occasion,Activités / Centres d'intérêts,Relation,Personnalité / Préférences,Genre,Tags,Catégorie de Produit,Évaluations Produit,Marque,Options de Personnalisation,Éco-responsable,Couleur,Dimensions,Matériau,Description,,,,,,,,,,,,,,
1,Jeux,Playmobil,https://www.amazon.fr/Playmobil-6926-Club-d%C3%89quitation/dp/B06WGZY234?source=ps-sl-shoppingads-lpcontext&amp,ref_=fplfs&amp,psc=1&amp,smid=A3QD2VHS84XHLR&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=b635e5e2ca64b2afde16290ae89106a4&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71TkndeqgXL.__AC_SY300_SX300_QL70_ML2_.jpg,6 - 12 ans,50 - 75 €,65€,Anniversaire,N/A,Famille,N/A,Mixte,enfants, construction,Jeux,4.7,Playmobil,Non,Non,Multi,N/A,Plastique,"""Parfait pour les enfants en âge scolaire, Playmobil favorise l'apprentissage ludique. Ce cadeau éveillera la curiosité et l'imagination des plus jeunes.""",,,,,,,,,,
2,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Famille-Disney/dp/B0013F4LZ6/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&amp,keywords=puzzle+enfant&amp,s=toys&amp,sr=1-7&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=7700aeebb230da55a481212d3d00440f&camp=1642&creative=6746,https://m.media-amazon.com/images/I/911ZwsPPRpL.__AC_SY300_SX300_QL70_ML2_.jpg,6 - 12 ans,5 - 20 €,14€,Anniversaire,Disney,Famille,N/A,Mixte,enfants, jeux de société ,Jeux de société ,,,,Non,Multi ,"""23,01 x 3,61 x 33,4 cm""",Carton ,"""Parfait pour les enfants en âge scolaire, Puzzle favorise l'apprentissage ludique. Ce cadeau éveillera la curiosité et l'imagination des plus jeunes.""",,,,,,,,,,
3,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Famille-Disney/dp/B0013F4LZ6/ref=sr_1_7?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=puzzle+enfant&amp,s=toys&amp,sr=1-7&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=19e17b6a9eb31de911d8dd86ada3aff2&camp=1642&creative=6746,https://m.media-amazon.com/images/I/911ZwsPPRpL.__AC_SY300_SX300_QL70_ML2_.jpg,6 - 12 ans,5 - 20 €,14€,Noël,Disney,Famille,N/A,Mixte,enfants, jeux de société ,Jeux de société,4.7,Ravensbuger,Non,Non,Multi ,"23,01 x 3,61 x 33,4 cm",Carton ,"""Parfait pour les enfants en âge scolaire, Puzzle favorise l'apprentissage ludique. Ce cadeau éveillera la curiosité et l'imagination des plus jeunes.""",,,,,,,,,,
4,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Armoire-Cuisine/dp/B00B2IIR3G/ref=sr_1_4?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=puzzle&amp,s=toys&amp,sr=1-4&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=fe12d7edd182bac97aeaecacd4157cbe&camp=1642&creative=6746,https://m.media-amazon.com/images/I/91rgY0Vx8PL.__AC_SY300_SX300_QL70_ML2_.jpg,12 - 18 ans,5 - 20 €,15€,Noël,Jeux de société,Famille,Aime les activités relaxantes,Mixte,adolescent, jeux de société ,Jeux de société,5.7,Ravensbuger,Non,Non,Multi ,"‎37,47 x 27,31 x 5,72 cm",Carton ,"""Destiné aux adolescents, Puzzle allie divertissement et éveil intellectuel. Idéal pour les esprits créatifs et dynamiques de l'adolescence.""",,,,,,,,,,
5,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-Armoire-Cuisine/dp/B00B2IIR3G/ref=sr_1_4?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=puzzle&amp,s=toys&amp,sr=1-4&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=fe12d7edd182bac97aeaecacd4157cbe&camp=1642&creative=6746,https://m.media-amazon.com/images/I/91rgY0Vx8PL.__AC_SY300_SX300_QL70_ML2_.jpg,12 - 18 ans,5 - 20 €,15€,Anniversaire,Jeux de société,Famille,Aime les défis,Mixte,adolescent, jeux de société ,Jeux de société,6.7,Ravensbuger,Non,Non,Multi ,"37,47 x 27,31 x 5,72 cm",Carton ,"""Destiné aux adolescents, Puzzle allie divertissement et éveil intellectuel. Idéal pour les esprits créatifs et dynamiques de l'adolescence.""",,,,,,,,,,
6,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-%25C3%2589toil%25C3%25A9e-Pi%25C3%25A8ces/dp/B0029QB53E/ref=sr_1_15?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=puzzle&amp,s=toys&amp,sr=1-15&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=37e0308d23199014c025ccf67b646d01&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71KM6k2UIJL.__AC_SY300_SX300_QL70_ML2_.jpg,60 ans +,20 - 35 €,27€,Noël,Jeux de société,Famille,Aime les activités relaxantes,Mixte,senior, jeux de société ,Jeux de société,7.7,Ravensbuger,Non,Non,Multi ,"37,3 x 27,3 x 5,5 cm",Carton ,"""Voici un excellent un jeu de société à faire tout seul ou en famille. Passez le temps de manière amusante et agréable""",,,,,,,,,,
7,Jeux,Puzzle,https://www.amazon.fr/Ravensburger-Puzzle-Classique-%25C3%2589toil%25C3%25A9e-Pi%25C3%25A8ces/dp/B0029QB53E/ref=sr_1_15?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=puzzle&amp,s=toys&amp,sr=1-15&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=37e0308d23199014c025ccf67b646d01&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71KM6k2UIJL.__AC_SY300_SX300_QL70_ML2_.jpg,60 ans +,20 - 35 €,27€,Anniversaire,Jeux de société,Famille,Aime les défis,Mixte,senior, jeux de société ,Jeux de société,4.7,Ravensbuger,Non,Non,Multi ,"‎37,3 x 27,3 x 5,5 cm",Carton ,"""Prezent vous propose un jeu de société à faire tout seul ou en famille. Passez le temps de manière amusante et agréable""",,,,,,,,,,
8,Livre,Manga,https://www.amazon.fr/One-piece-originale-ODA-Eiichir%25C3%25B4/dp/2723488527/ref=sr_1_2?keywords=one+piece+manga&amp,s=books&amp,sr=1-2&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=29863839a7a2baf71dc20b582d1b3541&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51sGM7L2iuL._SY445_SX342_.jpg,12 - 18 ans,5 - 20 €,7€,Noël,Lecture,Famille,N/A,Mixte,adolescent, livres,Manga,,Editions Glénat Manga,Non,Non,Multi,11.5 x 1.5 x 18 cm,Papier,"""Manga allie divertissement et éveil intellectuel. Idéal pour les esprits créatifs et dynamiques de l'adolescence.""",,,,,,,,,,,
9,Livre,Manga,https://www.amazon.fr/One-piece-originale-ODA-Eiichir%25C3%25B4/dp/2723488527/ref=sr_1_2?keywords=one+piece+manga&amp,s=books&amp,sr=1-2&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=29863839a7a2baf71dc20b582d1b3541&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51sGM7L2iuL._SY445_SX342_.jpg,12 - 18 ans,5 - 20 €,7€,Anniversaire,BD,,N/A,Mixte,adolescent, livres,Manga,,Editions Glénat Manga,Non,Non,Multi,11.5 x 1.5 x 18 cm,Papier,"""Manga allie divertissement et éveil intellectuel. Idéal pour les esprits créatifs et dynamiques de l'adolescence.""",,,,,,,,,,,
10,Equipement sportif,Gym ball,https://www.amazon.fr/Sveltus-Gymball-75-cm/dp/B073GR744S/ref=sr_1_9?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=gym+ball&amp,sr=8-9&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=17e6edc6f32f6df9c9a89e05bbc3877a&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81O9OW2SZYL.__AC_SY300_SX300_QL70_ML2_.jpg,18 - 28 ans,5 - 20 €,16€,Anniversaire,Sport,Famille,Bien-être,Femme,adulte, sport ,Sport,4.1,,Non,Non,Violet,75 cm ,Polychlorure de vinyle,"""Profitez de cette ball pour effectuer du sport ou simplement des exercices de détente chez vous ou en extérieur.""",,,,,,,,,,,
